CropID,CropYield,PestInfestationCount,DateID,WeatherID,Date,Year,Month,Quarter,Season,Day of the Week,Holidays,Crop Name,Crop Type,Soil Type,Irrigation Type,Location,Temperature,Precipitation,Wind Speed,Weather Conditions
1,1127,8,1,1,2023-12-21,2023,12,Q4,Winter,Thursday,True,Crop1,Wheat,Loam,Sprinkler,Location1,32.86,4.46,17.59,Sunny
2,1374,1,2,2,2023-09-05,2023,9,Q3,Summer,Tuesday,False,Crop2,Rice,Clay,Sprinkler,Location2,24.58,18.3,11.71,Rainy
3,1435,7,3,3,2023-01-23,2023,1,Q1,Winter,Monday,True,Crop3,Wheat,Clay,Sprinkler,Location3,30.07,2.15,18.23,Cloudy
4,1379,10,4,4,2023-03-21,2023,3,Q1,Winter,Tuesday,True,Crop4,Wheat,Loam,Sprinkler,Location4,24.22,8.37,9.18,Cloudy
5,1138,8,5,5,2023-06-01,2023,6,Q2,Autumn,Thursday,True,Crop5,Wheat,Loam,Sprinkler,Location5,31.81,3.78,6.04,Sunny
6,1325,4,6,6,2023-10-20,2023,10,Q4,Autumn,Friday,True,Crop6,Wheat,Clay,Sprinkler,Location6,28.63,13.28,11.28,Rainy
7,808,6,7,7,2023-09-19,2023,9,Q3,Spring,Tuesday,False,Crop7,Rice,Loam,Sprinkler,Location7,34.84,8.43,23.72,Sunny
8,854,6,8,8,2023-07-29,2023,7,Q3,Autumn,Saturday,False,Crop8,Wheat,Loam,Drip,Location8,33.1,14.93,5.09,Sunny
9,1325,4,9,9,2023-05-21,2023,5,Q2,Autumn,Sunday,False,Crop9,Wheat,Loam,Sprinkler,Location9,33.8,2.31,18.17,Rainy
10,1119,3,10,10,2023-04-09,2023,4,Q2,Spring,Sunday,False,Crop10,Rice,Clay,Drip,Location10,22.95,10.71,5.25,Sunny
11,1376,4,11,11,2023-07-10,2023,7,Q3,Autumn,Monday,True,Crop11,Wheat,Clay,Drip,Location11,25.62,11.34,24.23,Rainy
12,1383,5,12,12,2023-12-29,2023,12,Q4,Spring,Friday,True,Crop12,Wheat,Clay,Sprinkler,Location12,21.49,7.69,14.59,Rainy
